Sponsor Name,BioGuide ID,Party,State,District,Number of Bills Sponsored,Top Policy Areas,Bill Titles,Bill Policy Areas,Bill Cosponsors Count,Bill Committee Count,Bill Committee Details URL,Bill Statuses,Bill Links
"Sen. Bennet, Michael F. [D-CO]",B001267,D,CO,,5,"Government Operations and Politics(2); Health(2); Science, Technology, Communications(1)","Oversee Emerging Technology Act | Digital Platform Commission Act of 2023 | ASSESS AI Act | Better Mental Health Care for Americans Act, Sec. 203 | Better Mental Health Care for Americans Act, Sec. 201","Government Operations and Politics | Science, Technology, Communications | Government Operations and Politics | Health | Health",0 | 1 | 0 | 2 | 2,1 | 1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/1577/committees?format=json | https://api.congress.gov/v3/bill/118/s/1671/committees?format=json | https://api.congress.gov/v3/bill/118/s/1356/committees?format=json | https://api.congress.gov/v3/bill/118/s/923/committees?format=json | https://api.congress.gov/v3/bill/118/s/923/committees?format=json,Defunct | Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1577 | https://www.congress.gov/bill/118th-congress/senate-bill/1671 | https://www.congress.gov/bill/118th-congress/senate-bill/1356 | https://www.congress.gov/bill/118th-congress/senate-bill/923 | https://www.congress.gov/bill/118th-congress/senate-bill/923
"Sen. Hickenlooper, John W. [D-CO]",H000273,D,CO,,2,"Labor and Employment(1); Science, Technology, Communications(1)",Workforce Data Enhancement Act | Validation and Evaluation for Trustworthy (VET) Artificial Intelligence Act,"Labor and Employment | Science, Technology, Communications",1 | 1,1 | 1,https://api.congress.gov/v3/bill/118/s/5401/committees?format=json | https://api.congress.gov/v3/bill/118/s/4769/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5401/text | https://www.congress.gov/bill/118th-congress/senate-bill/4769
"Rep. DeLauro, Rosa L. [D-CT-3]",D000216,D,CT,3,1,Foreign Trade and International Finance(1),National Critical Capabilities Defense Act of 2023,Foreign Trade and International Finance,6,1,https://api.congress.gov/v3/bill/118/hr/3136/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3136
"Sen. Blumenthal, Richard [D-CT]",B001277,D,CT,,2,"Science, Technology, Communications(1); Health(1)","Kids Online Safety Act, Sec. 13 (""Filter Bubble Transparency Requirements"") | Sec. 103, Supporting Affordability and Fairness with Every Bet Act","Science, Technology, Communications | Health",72 | 0,1 | 1,https://api.congress.gov/v3/bill/118/s/1409/committees?format=json | https://api.congress.gov/v3/bill/118/s/5057/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1409 | https://www.congress.gov/bill/118th-congress/senate-bill/5057
"Sen. Murphy, Christopher [D-CT]",M001169,D,CT,,2,Health(1); Immigration(1),"Strengthening Consumer Protections and Medical Debt Transparency Act | Border Act of 2024, General Provisions Title",Health | Immigration,2 | 0,1 | 0,https://api.congress.gov/v3/bill/118/s/2483/committees?format=json | ,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/2483 | https://www.congress.gov/bill/118th-congress/senate-bill/4361/text
"Rep. Blunt Rochester, Lisa [D-DE-At Large]",B001303,D,DE,,2,"Science, Technology, Communications(1); Commerce(1)",Artificial Intelligence Literacy Act of 2023 | Building Resilient Supply Chains Act,"Science, Technology, Communications | Commerce",5 | 3,1 | 1,https://api.congress.gov/v3/bill/118/hr/6791/committees?format=json | https://api.congress.gov/v3/bill/118/hr/762/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/6791 | https://www.congress.gov/bill/118th-congress/house-bill/762
"Sen. Coons, Christopher A. [D-DE]",C001088,D,DE,,3,"International Affairs(1); Science, Technology, Communications(1); Commerce(1)","Department of State, Foreign Operations, and Related Programs Appropriations Act 2024, Title VII (""General Provisions""), Sec. 7032 (""Democracy Programs"") | Platform Accountability and Transparency Act, Section 9 (""Rulemaking authority"") | NO FAKES Act of 2024","International Affairs | Science, Technology, Communications | Commerce",0 | 5 | 5,1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/2438/committees?format=json | https://api.congress.gov/v3/bill/118/s/1876/committees?format=json | https://api.congress.gov/v3/bill/118/s/4875/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/2438 | https://www.congress.gov/bill/118th-congress/senate-bill/1876 | https://www.congress.gov/bill/118th-congress/senate-bill/4875/text
"Rep. Castor, Kathy [D-FL-14]",C001066,D,FL,14,1,Commerce(1),"Protecting the Information of our Vulnerable Adolescents, Children, and Youth Act",Commerce,19,1,https://api.congress.gov/v3/bill/118/hr/2801/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/2801
"Rep. Soto, Darren [D-FL-9]",S001200,D,FL,9,1,Labor and Employment(1),Jobs of the Future Act of 2023,Labor and Employment,6,2,https://api.congress.gov/v3/bill/118/hr/4498/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4498
"Rep. Bilirakis, Gus M. [R-FL-12]",B001257,R,FL,12,2,"Crime and Law Enforcement(1); Science, Technology, Communications(1)","Protecting Our Children in an AI World Act of 2025 | Kids Online Safety Act, Title II (Filter Bubble Transparency)","Crime and Law Enforcement | Science, Technology, Communications",1 | 64,1 | 2,https://api.congress.gov/v3/bill/119/hr/1283/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7891/committees?format=json,Proposed | Defunct,https://www.congress.gov/bill/119th-congress/house-bill/1283/text | https://www.congress.gov/bill/118th-congress/house-bill/7891/text
"Rep. Buchanan, Vern [R-FL-16]",B001260,R,FL,16,1,Health(1),American Medical Innovation and Investment Act of 2024 (Sec. 5),Health,0,2,https://api.congress.gov/v3/bill/118/hr/8816/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8816
"Rep. Donalds, Byron [R-FL-19]",D000032,R,FL,19,4,Environmental Protection(1); Finance and Financial Sector(1); Emergency Management(1),Water Quality and Environmental Innovation Act | FinCEN Modernization Act of 2023 | National Strategy to Utilize Microreactors for Natural Disaster Response Efforts Act | Atomic Supply Chain Solutions Act,Environmental Protection | Finance and Financial Sector | Emergency Management | Energy,6 | 0 | 10 | 4,3 | 1 | 3 | 1,https://api.congress.gov/v3/bill/118/hr/873/committees?format=json | https://api.congress.gov/v3/bill/118/hr/370/committees?format=json | https://api.congress.gov/v3/bill/118/hr/1009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9200/committees?format=json,Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/873 | https://www.congress.gov/bill/118th-congress/house-bill/370 | https://www.congress.gov/bill/118th-congress/house-bill/1009 | https://www.congress.gov/bill/118th-congress/house-bill/9200
"Rep. Franklin, C. Scott [R-FL-18]",F000472,R,FL,18,1,Agriculture and Food(1),Land Grant Research Prioritization Act of 2023,Agriculture and Food,8,1,https://api.congress.gov/v3/bill/118/hr/4162/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4162
"Rep. Franklin, Scott [R-FL-18]",F000472,R,FL,18,1,"Science, Technology, Communications(1)",Transformational Artificial intelligence to Modernize the Economy against Extreme Weather Act,"Science, Technology, Communications",1,1,https://api.congress.gov/v3/bill/118/hr/9498/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9498/text
"Rep. Salazar, Maria Elvira [R-FL-27]",S000168,R,FL,27,4,Foreign Trade and International Finance(3); Commerce(1),"Americas Act, Title II (""Trade and Investment for the Americas""), Sec. 202 (""Americas Partnership Business Advisory Board"") | Americas Act, Title I (""Administration""), Sec. 103 (""Additional Duties of Institute"") | No AI FRAUD Act | Americas Act, Title II (""Trade and Investment for the Americas""), Sec. 255 (""Transformational Energy Development"")",Foreign Trade and International Finance | Foreign Trade and International Finance | Commerce | Foreign Trade and International Finance,3 | 3 | 9 | 3,7 | 7 | 1 | 7,https://api.congress.gov/v3/bill/118/hr/7571/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7571/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6943/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7571/committees?format=json,Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7571 | https://www.congress.gov/bill/118th-congress/house-bill/7571 | https://www.congress.gov/bill/118th-congress/house-bill/6943 | https://www.congress.gov/bill/118th-congress/house-bill/7571
"Sen. Rubio, Marco [R-FL]",R000595,R,FL,,4,"Science, Technology, Communications(2); Foreign Trade and International Finance(2)","Artificial Intelligence Acquisitions Act of 2024 | Fair Trade with China Enforcement Act, Sec. 101 (""Establishment of list of certain products receiving support from government of People's Republic of China pursuant to Made in China 2025 policy"") | Fair Trade with China Enforcement Act, Sec. 102 (""Prohibition on export to People's Republic of China of national security sensitive technology and intellectual property"") | Disincentivizing Internet Service Censorship of Online Users and Restrictions on Speech and Expression Act","Science, Technology, Communications | Foreign Trade and International Finance | Foreign Trade and International Finance | Science, Technology, Communications",2 | 0 | 0 | 1,1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/4976/committees?format=json | https://api.congress.gov/v3/bill/118/s/153/committees?format=json | https://api.congress.gov/v3/bill/118/s/153/committees?format=json | https://api.congress.gov/v3/bill/118/s/921/committees?format=json,Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/4976 | https://www.congress.gov/bill/118th-congress/senate-bill/153 | https://www.congress.gov/bill/118th-congress/senate-bill/153 | https://www.congress.gov/bill/118th-congress/senate-bill/921
"Sen. Scott, Rick [R-FL]",S001217,R,FL,,14,"Armed Forces and National Security(12); International Affairs(1); Science, Technology, Communications(1)","National Defense Authorization Act for Fiscal Year 2022, Section 227 (""Modification of the joint common foundation program"") | National Defense Authorization Act for Fiscal Year 2022, Section 226 (""Review of artificial intelligence applications and establishment of performance metrics"") | National Defense Authorization Act for Fiscal Year 2022, Section 1531 (""Digital development infrastructure plan and working group"") | National Defense Authorization Act for Fiscal Year 2022, Section 232 (""Pilot program on data repositories to facilitate the development of artificial intelligence capabilities for the Department of Defense"") | National Defense Authorization Act for Fiscal Year 2022, Section 126 (""Acquisition, modernization, and sustainment plan for carrier air wings"") | National Defense Authorization Act for Fiscal Year 2022, Section 1509 (""Assessment of cyber posture and operational assumptions and development of targeting strategies and supporting capabilities"") | National Defense Authorization Act for Fiscal Year 2022, Section 1511 (""Comparative analysis of cybersecurity capabilities"") | National Defense Authorization Act for Fiscal Year 2022, Section 557 (""United States Naval Community College"") | National Defense Authorization Act for Fiscal Year 2022, Section 246 (""Report on autonomy integration in major weapon systems"") | National Defense Authorization Act for Fiscal Year 2022, Section 216 (""Improvements relating to steering committee on emerging technology and national security threats"")  | National Defense Authorization Act for Fiscal Year 2022, Section 247 (""Reports and briefings on recommendations of the National Security Commission on Artificial Intelligence regarding the Department of Defense"") | National Defense Authorization Act for Fiscal Year 2022, Section 909 (""Digital talent recruiting officer"") | Chinese Military and Surveillance Company Sanctions Act of 2024 | ASK Act","Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | International Affairs | Science, Technology, Communications",2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 0 | 0,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/117/s/1605/committees?format=json | https://api.congress.gov/v3/bill/118/s/5571/committees?format=json | https://api.congress.gov/v3/bill/118/s/1626/committees?format=json,Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Defunct | Defunct,https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/117th-congress/senate-bill/1605/text | https://www.congress.gov/bill/118th-congress/senate-bill/5571/text | https://www.congress.gov/bill/118th-congress/senate-bill/1626
"Rep. Williams, Nikema [D-GA-5]",W000788,D,GA,5,1,Health(1),"Tech to Save Moms Act, Sec. 5 (""Report on the Use of Technology in Maternity Care"")",Health,7,1,https://api.congress.gov/v3/bill/118/hr/5066/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/5066
"Sen. Ossoff, Jon [D-GA]",O000174,D,GA,,1,Public Lands and Natural Resources(1),Forest Data Modernization Act of 2023,Public Lands and Natural Resources,5,1,https://api.congress.gov/v3/bill/118/s/1743/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1743
"Rep. Allen, Rick W. [R-GA-12]",A000372,R,GA,12,1,"Science, Technology, Communications(1)","To amend the Communications Act of 1934 to establish technical and procedural standards for artificial or prerecorded voice systems created through generative artificial intelligence, and for other purposes.","Science, Technology, Communications",0,1,https://api.congress.gov/v3/bill/118/hr/8939/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8939/text
"Rep. Collins, Mike [R-GA-10]",C001129,R,GA,10,2,"Science, Technology, Communications(2)",Weather Information for Agriculture Act | Small Business Artificial Intelligence Advancement Act,"Science, Technology, Communications | Science, Technology, Communications",2 | 4,1 | 1,https://api.congress.gov/v3/bill/118/hr/4373/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9197/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4373 | https://www.congress.gov/bill/118th-congress/house-bill/9197/text
"Sen. Schatz, Brian [D-HI]",S001194,D,HI,,5,Commerce(2); Crime and Law Enforcement(1); Transportation and Public Works(1),Protecting Kids on Social Media Act | AI Labeling Act of 2023 | CONSENT Act | Air Tour and Sport Parachuting Safety Improvement Act of 2023 | TAME Extreme Weather Act,"Commerce | Commerce | Crime and Law Enforcement | Transportation and Public Works | Science, Technology, Communications",10 | 3 | 1 | 1 | 3,1 | 1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/1291/committees?format=json | https://api.congress.gov/v3/bill/118/s/2691/committees?format=json | https://api.congress.gov/v3/bill/118/s/3986/committees?format=json | https://api.congress.gov/v3/bill/118/s/1032/committees?format=json | https://api.congress.gov/v3/bill/118/s/3888/committees?format=json,Defunct | Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1291 | https://www.congress.gov/bill/118th-congress/senate-bill/2691 | https://www.congress.gov/bill/118th-congress/senate-bill/3986 | https://www.congress.gov/bill/118th-congress/senate-bill/1032 | https://www.congress.gov/bill/118th-congress/senate-bill/3888/text
"Rep. Feenstra, Randy [R-IA-4]",F000446,R,IA,4,1,Agriculture and Food(1),Farm Tech Act,Agriculture and Food,3,1,https://api.congress.gov/v3/bill/118/hr/6806/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/6806
"Rep. Nunn, Zachary [R-IA-3]",N000193,R,IA,3,2,Finance and Financial Sector(2),AI PLAN Act | AI PLAN Act,Finance and Financial Sector | Finance and Financial Sector,7 | 4,1 | 1,https://api.congress.gov/v3/bill/119/hr/2152/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7781/committees?format=json,Proposed | Defunct,https://www.congress.gov/bill/119th-congress/house-bill/2152/text | https://www.congress.gov/bill/118th-congress/house-bill/7781
"Sen. Ernst, Joni [R-IA]",E000295,R,IA,,2,Government Operations and Politics(1); Armed Forces and National Security(1),"CONSULT Act of 2023 | Artificial Intelligence Allied Collaboration for Crucial Operations, Research, and Development Act of 2024",Government Operations and Politics | Armed Forces and National Security,2 | 2,1 | 1,https://api.congress.gov/v3/bill/118/s/2034/committees?format=json | https://api.congress.gov/v3/bill/118/s/5058/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/2034 | https://www.congress.gov/bill/118th-congress/senate-bill/5058/text
"Sen. Risch, James E. [R-ID]",R000584,R,ID,,3,International Affairs(2); Immigration(1),"TORPEDO Act of 2023,  Sec. 12 (Expedited release of advanced technologies to Australia, Canada, and the United Kingdom through the foreign military sales program) | TORPEDO Act of 2023, Sec. 6 (Reporting requirements on efforts of the Department of State to implement the AUKUS partnership) | Solving the Border Crisis Act",International Affairs | International Affairs | Immigration,2 | 2 | 5,1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/1471/committees?format=json | https://api.congress.gov/v3/bill/118/s/1471/committees?format=json | https://api.congress.gov/v3/bill/118/s/716/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1471 | https://www.congress.gov/bill/118th-congress/senate-bill/1471 | https://www.congress.gov/bill/118th-congress/senate-bill/716
"Rep. Casten, Sean [D-IL-6]",C001117,D,IL,6,1,Energy(1),Methane Emissions Mitigation Research and Development Act,Energy,5,1,https://api.congress.gov/v3/bill/118/hr/7651/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7651/text
"Rep. Davis, Danny K. [D-IL-7]",D000096,D,IL,7,1,"Science, Technology, Communications(1)",Technology in the Parks Act of 2024,"Science, Technology, Communications",0,3,https://api.congress.gov/v3/bill/118/hr/8494/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8494/text
"Rep. Foster, Bill [D-IL-11]",F000454,D,IL,11,1,Emergency Management(1),National Windstorm Impact Reduction Program Reauthorization Act of 2024,Emergency Management,0,2,https://api.congress.gov/v3/bill/118/hr/9252/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9252
"Rep. Kelly, Robin L. [D-IL-2]",K000385,D,IL,2,1,Commerce(1),Supply Chain Mapping and Monitoring Act,Commerce,3,1,https://api.congress.gov/v3/bill/118/hr/796/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/796
"Rep. Schakowsky, Janice D. [D-IL-9]",S001145,D,IL,9,1,Commerce(1),R U REAL Act,Commerce,0,1,https://api.congress.gov/v3/bill/118/hr/7120/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7120
"Rep. Schneider, Bradley Scott [D-IL-10]",S001190,D,IL,10,1,Labor and Employment(1),Investing in Tomorrow's Workforce Act of 2023,Labor and Employment,0,1,https://api.congress.gov/v3/bill/118/hr/5350/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/5350
"Rep. Sorensen, Eric [D-IL-17]",S001225,D,IL,17,1,"Science, Technology, Communications(1)",QUIET Act,"Science, Technology, Communications",8,1,https://api.congress.gov/v3/bill/118/hr/7123/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7123
"Rep. Underwood, Lauren [D-IL-14]",U000040,D,IL,14,1,Health(1),"Black Maternal Health Omnibus Act, Sec. 904 (Report on the Use of Technology in Maternity Care)",Health,194,5,https://api.congress.gov/v3/bill/118/hr/3305/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3305
"Sen. Duckworth, Tammy [D-IL]",D000622,D,IL,,1,Armed Forces and National Security(1),“Managing Active and Reserve Tech Talent Effectively Act of 2023”,Armed Forces and National Security,0,1,https://api.congress.gov/v3/bill/118/s/1123/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1123
"Sen. Durbin, Richard J. [D-IL]",D000563,D,IL,,4,Energy(1); Labor and Employment(1); Crime and Law Enforcement(1),"Department of Energy Quantum Leadership Act of 2024, Section 2 | Investing in Tomorrow's Workforce Act of 2023 | Disrupt Explicit Forged Images And Non-Consensual Edits Act of 2024 | Protecting Patients from Deceptive Drug Ads Online Act",Energy | Labor and Employment | Crime and Law Enforcement | Health,5 | 4 | 8 | 1,1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/4932/committees?format=json | https://api.congress.gov/v3/bill/118/s/2722/committees?format=json | https://api.congress.gov/v3/bill/118/s/3696/committees?format=json | https://api.congress.gov/v3/bill/118/s/5040/committees?format=json,Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/4932/text | https://www.congress.gov/bill/118th-congress/senate-bill/2722 | https://www.congress.gov/bill/118th-congress/senate-bill/3696 | https://www.congress.gov/bill/118th-congress/senate-bill/5040
"Rep. Bost, Mike [R-IL-12]",B001295,R,IL,12,1,Armed Forces and National Security(1),Veterans Appeals Efficiency Act of 2024,Armed Forces and National Security,2,1,https://api.congress.gov/v3/bill/118/hr/7917/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7917/text
"Rep. Baird, James R. [R-IN-4]",B001307,R,IN,4,1,"Science, Technology, Communications(1)",AI Development Practices Act of 2024,"Science, Technology, Communications",7,1,https://api.congress.gov/v3/bill/118/hr/9466/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9466
"Rep. Banks, Jim [R-IN-3]",B001299,R,IN,3,1,International Affairs(1),Preventing PLA Acquisition of United States Technology Act of 2023,International Affairs,0,4,https://api.congress.gov/v3/bill/118/hr/2993/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/2993
"Rep. Bucshon, Larry [R-IN-8]",B001275,R,IN,8,2,Commerce(2),Promoting Resilient Supply Chains Act of 2023 | Deploying American Blockchains Act of 2023,Commerce | Commerce,9 | 3,2 | 2,https://api.congress.gov/v3/bill/118/hr/6571/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6572/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/6571 | https://www.congress.gov/bill/118th-congress/house-bill/6572
"Sen. Braun, Mike [R-IN]",B001310,R,IN,,1,Health(1),Medicare Transaction Fraud Prevention Act,Health,1,1,https://api.congress.gov/v3/bill/118/s/3630/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/3630
"Sen. Young, Todd [R-IN]",Y000064,R,IN,,3,"Commerce(1); Science, Technology, Communications(1); Agriculture and Food(1)",S.305 Small Business Technological Act of 2025 | Artificial Intelligence Public Awareness and Education Campaign Act | Synthetic Biology Advancement Act of 2024,"Commerce | Science, Technology, Communications | Agriculture and Food",4 | 1 | 1,1 | 1 | 1,https://api.congress.gov/v3/bill/119/s/305/committees?format=json | https://api.congress.gov/v3/bill/118/s/4596/committees?format=json | https://api.congress.gov/v3/bill/118/s/4413/committees?format=json,Proposed | Defunct | Defunct,https://www.congress.gov/bill/119th-congress/senate-bill/305 | https://www.congress.gov/bill/118th-congress/senate-bill/4596 | https://www.congress.gov/bill/118th-congress/senate-bill/4413
"Sen. Marshall, Roger [R-KS]",M001198,R,KS,,2,Crime and Law Enforcement(1); Health(1),Cooper Davis Act | Improving Seniors’ Timely Access to Care Act of 2024,Crime and Law Enforcement | Health,5 | 59,1 | 1,https://api.congress.gov/v3/bill/118/s/1080/committees?format=json | https://api.congress.gov/v3/bill/118/s/4532/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1080 | https://www.congress.gov/bill/118th-congress/senate-bill/4532
"Sen. Moran, Jerry [R-KS]",M000934,R,KS,,1,Government Operations and Politics(1),Federal Artificial Intelligence Risk Management Act of 2023,Government Operations and Politics,1,1,https://api.congress.gov/v3/bill/118/s/3205/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/3205
"Rep. Comer, James [R-KY-1]",C001108,R,KY,1,1,Government Operations and Politics(1),Federal AI Governance and Transparency Act,Government Operations and Politics,7,1,https://api.congress.gov/v3/bill/118/hr/7532/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7532
"Rep. Guthrie, Brett [R-KY-2]",G000558,R,KY,2,1,"Science, Technology, Communications(1)","Novel, Advanced Spectrum and Communications Technology Networks Promotion Act","Science, Technology, Communications",0,1,https://api.congress.gov/v3/bill/118/hr/4504/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4504
"Rep. Carter, Troy A. [D-LA-2]",C001125,D,LA,2,1,Armed Forces and National Security(1),Cybersecurity and Infrastructure Security Agency Securing AI Task Force Act,Armed Forces and National Security,1,1,https://api.congress.gov/v3/bill/118/hr/8348/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8348/text
"Rep. Higgins, Clay [R-LA-3]",H001077,R,LA,3,2,Taxation(1); Government Operations and Politics(1),No AI Audits Act | Comment Integrity and Management Act of 2024,Taxation | Government Operations and Politics,1 | 0,1 | 2,https://api.congress.gov/v3/bill/118/hr/7694/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7528/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7694/text | https://www.congress.gov/bill/118th-congress/house-bill/7528
"Sen. Markey, Edward J. [D-MA]",M000133,D,MA,,5,"Science, Technology, Communications(2); Civil Rights and Liberties, Minority Issues(1); Education(1)","Eliminating Bias in Algorithmic Systems Act of 2023 | Forecasting Optimization for Robust Earth Climate Analysis and Subseasonal-to-Seasonal Tracking Act of 2024 | Social Media and AI Resiliency Toolkits in Schools Act | A bill to establish protections for individual rights with respect to computational algorithms, and for other purposes. | Block Nuclear Launch by Autonomous Artificial Intelligence Act of 2023","Civil Rights and Liberties, Minority Issues | Science, Technology, Communications | Education | Science, Technology, Communications | Armed Forces and National Security",7 | 3 | 0 | 1 | 3,1 | 1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/3478/committees?format=json | https://api.congress.gov/v3/bill/118/s/4907/committees?format=json | https://api.congress.gov/v3/bill/118/s/4614/committees?format=json | https://api.congress.gov/v3/bill/118/s/5152/committees?format=json | https://api.congress.gov/v3/bill/118/s/1394/committees?format=json,Defunct | Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/3478 | https://www.congress.gov/bill/118th-congress/senate-bill/4907/text | https://www.congress.gov/bill/118th-congress/senate-bill/4614/text | https://www.congress.gov/bill/118th-congress/senate-bill/5152/text | https://www.congress.gov/bill/118th-congress/senate-bill/1394/text
