Sponsor Name,BioGuide ID,Party,State,District,Number of Bills Sponsored,Top Policy Areas,Bill Titles,Bill Policy Areas,Bill Cosponsors Count,Bill Committee Count,Bill Committee Details URL,Bill Statuses,Bill Links
"Rep. Schweikert, David [R-AZ-1]",S001183,R,AZ,1,5,Health(4); Armed Forces and National Security(1),"Healthy Technology Act of 2023 | Advanced Safe Testing at Residence Telehealth Act of 2023, Sec. 2 (""Coverage and Payment for Certain Tests and Assistive Telehealth Consultations; Demonstration Program Under Certain State Medicaid Programs"") | Preserving Telehealth, Hospital, and Ambulance Access Act, Sec. 105 (Report on Wearable Medical Devices) | Department of Defense Financial Audits Using Artificial Intelligence Act | Maintaining Innovation and Safe Technologies Act",Health | Health | Health | Armed Forces and National Security | Health,0 | 0 | 1 | 0 | 1,1 | 3 | 2 | 2 | 2,https://api.congress.gov/v3/bill/118/hr/206/committees?format=json | https://api.congress.gov/v3/bill/118/hr/207/committees?format=json | https://api.congress.gov/v3/bill/118/hr/8261/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7603/committees?format=json | https://api.congress.gov/v3/bill/118/hr/8832/committees?format=json,Defunct | Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/206 | https://www.congress.gov/bill/118th-congress/house-bill/207 | https://www.congress.gov/bill/118th-congress/house-bill/8261 | https://www.congress.gov/bill/118th-congress/house-bill/7603 | https://www.congress.gov/bill/118th-congress/house-bill/8832
"Rep. Barragán, Nanette Diaz [D-CA-44]",B001300,D,CA,44,1,Health(1),National Patient Safety Board Act of 2024,Health,2,2,https://api.congress.gov/v3/bill/118/hr/7591/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7591/text
"Rep. Correa, J. Luis [D-CA-46]",C001110,D,CA,46,1,Immigration(1),Emerging Innovative Border Technologies Act,Immigration,1,2,https://api.congress.gov/v3/bill/118/hr/7832/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7832
"Rep. Cárdenas, Tony [D-CA-29]",C001097,D,CA,29,1,Commerce(1),LISTOS Act,Commerce,7,2,https://api.congress.gov/v3/bill/118/hr/3806/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3806
"Rep. DeSaulnier, Mark [D-CA-10]",D000623,D,CA,10,1,Transportation and Public Works(1),Research and Development Program on New Approaches to Data Analysis for Aviation Safety,Transportation and Public Works,2,2,https://api.congress.gov/v3/bill/118/hr/6850/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/6850
"Rep. Eshoo, Anna G. [D-CA-16]",E000215,D,CA,16,7,"Science, Technology, Communications(5); Health(1); Environmental Protection(1)","Communications, Video, and Technology Accessibility Act of 2023, Sec. 401 (""Emerging Technology"")  | Artificial Intelligence and Biosecurity Risk Assessment Act | Creating Resources for Every American To Experiment with Artificial Intelligence Act of 2023 | Artificial Intelligence Environmental Impacts Act of 2024 | Online Privacy Act of 2023, Sec. 106 (""Right to individual autonomy"") | Protecting Consumers from Deceptive AI Act | Creating Resources for Every American To Experiment with Artificial Intelligence Act of 2023 ","Science, Technology, Communications | Health | Science, Technology, Communications | Environmental Protection | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications",21 | 5 | 68 | 4 | 1 | 18 | 68,1 | 1 | 1 | 2 | 4 | 2 | 1,https://api.congress.gov/v3/bill/118/hr/4858/committees?format=json | https://api.congress.gov/v3/bill/118/hr/4704/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5077/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7197/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2701/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7766/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5077/committees?format=json,Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4858 | https://www.congress.gov/bill/118th-congress/house-bill/4704 | https://www.congress.gov/bill/118th-congress/house-bill/5077 | https://www.congress.gov/bill/118th-congress/house-bill/7197 | https://www.congress.gov/bill/118th-congress/house-bill/2701 | https://www.congress.gov/bill/118th-congress/house-bill/7766/text | https://congress.gov/bill/118th-congress/house-bill/5077
"Rep. Garcia, Robert [D-CA-42]",G000598,D,CA,42,1,Transportation and Public Works(1),SPEED through Screening Act,Transportation and Public Works,3,1,https://api.congress.gov/v3/bill/118/hr/8630/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8630/text
"Rep. Harder, Josh [D-CA-9]",H001090,D,CA,9,2,"Science, Technology, Communications(1); Emergency Management(1)","Artificial Intelligence Accountability Act | Modernizing Wildfire Safety and Prevention Act of 2024, Section 405 (""Joint Office of the Fire Environment Center (Report Recommendations 104, 105, 106)"")","Science, Technology, Communications | Emergency Management",2 | 11,1 | 9,https://api.congress.gov/v3/bill/118/hr/3369/committees?format=json | https://api.congress.gov/v3/bill/118/hr/8656/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3369 | https://www.congress.gov/bill/118th-congress/house-bill/8656/text
"Rep. Huffman, Jared [D-CA-2]",H001068,D,CA,2,2,Public Lands and Natural Resources(2),"Sustaining America’s Fisheries for the Future Act of 2024, Title IV, Section 402 (""Expanding and improving electronic technologies."") | Sustaining America’s Fisheries for the Future Act of 2024, Title IV, Section 401 (""Data modernization."")",Public Lands and Natural Resources | Public Lands and Natural Resources,10 | 10,2 | 2,https://api.congress.gov/v3/bill/118/hr/8862/committees?format=json | https://api.congress.gov/v3/bill/118/hr/8862/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8862/text | https://www.congress.gov/bill/118th-congress/house-bill/8862/text
"Rep. Kamlager-Dove, Sydney [D-CA-37]",K000400,D,CA,37,1,International Affairs(1),S5344 Advancing Digital Freedom Act of 2024,International Affairs,1,1,https://api.congress.gov/v3/bill/118/hr/10169/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/10169/text
