AGORA ID,Cosponsor_FullName,Cosponsor_FirstName,Cosponsor_MiddleName,Cosponsor_LastName,Cosponsor_Party,Cosponsor_State,Cosponsor_District,Cosponsor_BioguideId,Cosponsor_URL,Cosponsor_SponsorshipDate,Cosponsor_IsOriginal,Cosponsor_WithdrawnDate,Cosponsor_IsWithdrawn
801,"Rep. Bonamici, Suzanne [D-OR-1]",Suzanne,,Bonamici,D,OR,1.0,B001278,https://api.congress.gov/v3/member/B001278?format=json,2023-11-07,False,,False
801,"Rep. Foushee, Valerie P. [D-NC-4]",Valerie,P.,Foushee,D,NC,4.0,F000477,https://api.congress.gov/v3/member/F000477?format=json,2023-11-07,False,,False
801,"Rep. Ross, Deborah K. [D-NC-2]",Deborah,K.,Ross,D,NC,2.0,R000305,https://api.congress.gov/v3/member/R000305?format=json,2023-11-07,False,,False
801,"Rep. Jackson, Jeff [D-NC-14]",Jeff,,Jackson,D,NC,14.0,J000308,https://api.congress.gov/v3/member/J000308?format=json,2023-11-07,False,,False
801,"Rep. Stevens, Haley M. [D-MI-11]",Haley,M.,Stevens,D,MI,11.0,S001215,https://api.congress.gov/v3/member/S001215?format=json,2023-11-07,False,,False
801,"Rep. Lee, Summer L. [D-PA-12]",Summer,L.,Lee,D,PA,12.0,L000602,https://api.congress.gov/v3/member/L000602?format=json,2023-11-17,False,,False
801,"Rep. Sorensen, Eric [D-IL-17]",Eric,,Sorensen,D,IL,17.0,S001225,https://api.congress.gov/v3/member/S001225?format=json,2023-11-17,False,,False
801,"Rep. Issa, Darrell E. [R-CA-48]",DARRELL,E.,ISSA,R,CA,48.0,I000056,https://api.congress.gov/v3/member/I000056?format=json,2023-11-17,False,,False
801,"Rep. Sykes, Emilia Strong [D-OH-13]",Emilia,Strong,Sykes,D,OH,13.0,S001223,https://api.congress.gov/v3/member/S001223?format=json,2023-11-28,False,,False
801,"Rep. Caraveo, Yadira [D-CO-8]",Yadira,,Caraveo,D,CO,8.0,C001134,https://api.congress.gov/v3/member/C001134?format=json,2023-11-28,False,,False
