src_id,relation,dst_id,layer,withdrawn_date
document:2362,WITHDREW_COSPONSOR,sponsor:N000190,1.75,2025-03-24
document:517,WITHDREW_COSPONSOR,sponsor:R000618,1.75,2024-05-14
