node_id,bioguide_id,full_name,last_name,first_name,party,state,district,chamber
sponsor:N000190,N000190,"Rep. Norman, Ralph [R-SC-5]",Norman,Ralph,R,SC,5,Rep
sponsor:R000618,R000618,"Sen. Ricketts, Pete [R-NE]",Ricketts,Pete,R,NE,,Sen
