,Convening,Disclosure,Disclosure: About evaluation,Disclosure: About incidents,Disclosure: About inputs,Disclosure: Accuracy thereof,Disclosure: In deployment,Disclosure: In standard form,Evaluation,Evaluation: Adversarial testing,Evaluation: Conformity assessment,Evaluation: External auditing,Evaluation: Impact assessment,Evaluation: Post-market monitoring,Governance development,Government study or report,Government support,Government support: AI workforce-related,Government support: For R&D,Input controls,Input controls: Compute circulation,Input controls: Compute use,Input controls: Data circulation,Input controls: Data use,"Licensing, registration, and certification",New institution,Performance requirements,Pilots and testbeds,Tiering,Tiering: Tiering based on domain of application,Tiering: Tiering based on generality,Tiering: Tiering based on impact,Tiering: Tiering based on inputs,Tiering: Tiering based on planning ability
Community 0,0.069164265129683,0.07204610951008646,0.03170028818443804,0.002881844380403458,0.01729106628242075,0.002881844380403458,0.02881844380403458,0.020172910662824207,0.07780979827089338,0.008645533141210375,0.02881844380403458,0.005763688760806916,0.03170028818443804,0.023054755043227664,0.07492795389048991,0.15561959654178675,0.10086455331412104,0.03170028818443804,0.069164265129683,0.002881844380403458,0.0,0.0,0.002881844380403458,0.002881844380403458,0.008645533141210375,0.04610951008645533,0.03170028818443804,0.02881844380403458,0.011527377521613832,0.002881844380403458,0.0,0.005763688760806916,0.002881844380403458,0.0
Community 1,0.08639308855291576,0.06263498920086392,0.019438444924406047,0.008639308855291577,0.017278617710583154,0.0064794816414686825,0.02159827213822894,0.019438444924406047,0.07775377969762419,0.0064794816414686825,0.017278617710583154,0.004319654427645789,0.038876889848812095,0.02159827213822894,0.09287257019438445,0.1511879049676026,0.10367170626349892,0.038876889848812095,0.06695464362850972,0.012958963282937365,0.0021598272138228943,0.0021598272138228943,0.0,0.0064794816414686825,0.004319654427645789,0.047516198704103674,0.01511879049676026,0.017278617710583154,0.01511879049676026,0.004319654427645789,0.0,0.0064794816414686825,0.0021598272138228943,0.0021598272138228943
Community 2,0.10638297872340426,0.0729483282674772,0.030395136778115502,0.02127659574468085,0.02735562310030395,0.0,0.030395136778115502,0.030395136778115502,0.06382978723404255,0.0060790273556231,0.015197568389057751,0.0121580547112462,0.030395136778115502,0.0121580547112462,0.07598784194528875,0.12462006079027356,0.08814589665653495,0.04559270516717325,0.04559270516717325,0.0121580547112462,0.0,0.00303951367781155,0.0121580547112462,0.00911854103343465,0.00911854103343465,0.0547112462006079,0.0121580547112462,0.02127659574468085,0.00911854103343465,0.00303951367781155,0.0,0.00911854103343465,0.0060790273556231,0.0
Community 3,0.05405405405405406,0.04504504504504504,0.02252252252252252,0.0045045045045045045,0.013513513513513514,0.0045045045045045045,0.018018018018018018,0.013513513513513514,0.10810810810810811,0.0045045045045045045,0.02252252252252252,0.0,0.03153153153153153,0.03153153153153153,0.07207207207207207,0.18018018018018017,0.13063063063063063,0.06756756756756757,0.05855855855855856,0.018018018018018018,0.0045045045045045045,0.0,0.0,0.0045045045045045045,0.0045045045045045045,0.036036036036036036,0.018018018018018018,0.02252252252252252,0.0045045045045045045,0.0,0.0,0.0045045045045045045,0.0,0.0
Community 4,0.1111111111111111,0.057971014492753624,0.00966183574879227,0.00966183574879227,0.00966183574879227,0.0,0.024154589371980676,0.00966183574879227,0.07246376811594203,0.004830917874396135,0.014492753623188406,0.004830917874396135,0.033816425120772944,0.01932367149758454,0.08695652173913043,0.13526570048309178,0.11594202898550725,0.057971014492753624,0.07729468599033816,0.01932367149758454,0.004830917874396135,0.0,0.004830917874396135,0.00966183574879227,0.014492753623188406,0.06280193236714976,0.004830917874396135,0.014492753623188406,0.004830917874396135,0.0,0.0,0.0,0.0,0.004830917874396135
