,id,size,D%,R%,Senate,House,States,Top Policy 1,Top Policy 2,Top Policy 3
0,0,140,97.1,2.9,1,136,39,Health (192),Labor and Employment (148),Government Operations and Politics (92)
1,1,105,65.7,34.3,1,102,35,Armed Forces and National Security (297),"Science, Technology, Communications (272)",Health (119)
2,2,91,47.3,49.5,91,0,48,"Science, Technology, Communications (199)",Health (75),Armed Forces and National Security (60)
3,3,63,1.6,98.4,1,61,30,International Affairs (186),Armed Forces and National Security (103),Public Lands and Natural Resources (30)
4,4,35,45.7,54.3,0,35,21,"Science, Technology, Communications (224)",International Affairs (24),Health (23)
