Cosponsor_BioguideId,Cosponsor_FullName,Cosponsor_Party,Cosponsor_State,bill_count
A000376,"Rep. Allred, Colin Z. [D-TX-32]",D,TX,1
S000522,"Rep. Smith, Christopher H. [R-NJ-4]",R,NJ,1
P000608,"Rep. Peters, Scott H. [D-CA-50]",D,CA,1
M001227,"Rep. McClellan, Jennifer L. [D-VA-4]",D,VA,1
F000468,"Rep. Fletcher, Lizzie [D-TX-7]",D,TX,1
L000590,"Rep. Lee, Susie [D-NV-3]",D,NV,1
A000380,"Rep. Amo, Gabe [D-RI-1]",D,RI,1
K000402,"Rep. Kennedy, Timothy M. [D-NY-26]",D,NY,1
S001201,"Rep. Suozzi, Thomas R. [D-NY-3]",D,NY,1
M001229,"Rep. McIver, LaMonica [D-NJ-10]",D,NJ,1
O000086,"Rep. Owens, Burgess [R-UT-4]",R,UT,1
T000467,"Rep. Thompson, Glenn [R-PA-15]",R,PA,1
A000372,"Rep. Allen, Rick W. [R-GA-12]",R,GA,1
S001199,"Rep. Smucker, Lloyd [R-PA-11]",R,PA,1
M001136,"Rep. McClain, Lisa C. [R-MI-9]",R,MI,1
W000798,"Rep. Walberg, Tim [R-MI-5]",R,MI,1
M001224,"Rep. Moran, Nathaniel [R-TX-1]",R,TX,1
Z000018,"Rep. Zinke, Ryan K. [R-MT-1]",R,MT,1
L000266,"Rep. LaTurner, Jake [R-KS-2]",R,KS,1
B000740,"Rep. Bice, Stephanie I. [R-OK-5]",R,OK,1
J000302,"Rep. Joyce, John [R-PA-13]",R,PA,1
H001093,"Rep. Houchin, Erin [R-IN-9]",R,IN,1
E000246,"Rep. Edwards, Chuck [R-NC-11]",R,NC,1
R000395,"Rep. Rogers, Harold [R-KY-5]",R,KY,1
I000058,"Rep. Ivey, Glenn [D-MD-4]",D,MD,1
P000616,"Rep. Phillips, Dean [D-MN-3]",D,MN,1
D000197,"Rep. DeGette, Diana [D-CO-1]",D,CO,1
C001101,"Rep. Clark, Katherine M. [D-MA-5]",D,MA,1
S001185,"Rep. Sewell, Terri A. [D-AL-7]",D,AL,1
T000481,"Rep. Tlaib, Rashida [D-MI-12]",D,MI,1
M001217,"Rep. Moskowitz, Jared [D-FL-23]",D,FL,1
T000483,"Rep. Trone, David J. [D-MD-6]",D,MD,1
S001159,"Rep. Strickland, Marilyn [D-WA-10]",D,WA,1
C001125,"Rep. Carter, Troy [D-LA-2]",D,LA,1
A000148,"Rep. Auchincloss, Jake [D-MA-4]",D,MA,1
N000015,"Rep. Neal, Richard E. [D-MA-1]",D,MA,1
S001209,"Rep. Spanberger, Abigail Davis [D-VA-7]",D,VA,1
O000172,"Rep. Ocasio-Cortez, Alexandria [D-NY-14]",D,NY,1
T000474,"Rep. Torres, Norma J. [D-CA-35]",D,CA,1
G000583,"Rep. Gottheimer, Josh [D-NJ-5]",D,NJ,1
W000825,"Rep. Wexton, Jennifer [D-VA-10]",D,VA,1
J000288,"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA-4]",D,GA,1
