,bioguide,name,party,state,doc_count
141,B001298,"Rep. Bacon, Don [R-NE-2]",R,NE,3
297,P000449,"Sen. Portman, Rob [R-OH]",R,OH,3
234,P000096,"Rep. Pascrell, Bill, Jr. [D-NJ-9]",D,NJ,3
233,C000059,"Rep. Calvert, Ken [R-CA-41]",R,CA,3
350,M001194,"Rep. Moolenaar, John R. [R-MI-2]",R,MI,3
457,G000590,"Rep. Green, Mark E. [R-TN-7]",R,TN,3
43,M000133,"Sen. Markey, Edward J. [D-MA]",D,MA,3
368,H001068,"Rep. Huffman, Jared [D-CA-2]",D,CA,3
201,G000602,"Rep. Gillen, Laura [D-NY-4]",D,NY,3
415,K000380,"Rep. Kildee, Daniel T. [D-MI-8]",D,MI,3
469,K000009,"Rep. Kaptur, Marcy [D-OH-9]",D,OH,3
499,B001281,"Rep. Beatty, Joyce [D-OH-3]",D,OH,3
120,L000557,"Rep. Larson, John B. [D-CT-1]",D,CT,3
494,H001071,"Rep. Hice, Jody B. [R-GA-10]",R,GA,3
203,B000574,"Rep. Blumenauer, Earl [D-OR-3]",D,OR,3
262,B001319,"Sen. Britt, Katie Boyd [R-AL]",R,AL,3
37,B001296,"Rep. Boyle, Brendan F. [D-PA-2]",D,PA,3
458,S001224,"Rep. Self, Keith [R-TX-3]",R,TX,2
510,R000622,"Rep. Riley, Josh [D-NY-19]",D,NY,2
474,C000174,"Sen. Carper, Thomas R. [D-DE]",D,DE,2
437,C000141,"Sen. Cardin, Benjamin L. [D-MD]",D,MD,2
435,V000137,"Sen. Vance, J. D. [R-OH]",R,OH,2
501,C001101,"Rep. Clark, Katherine M. [D-MA-5]",D,MA,2
516,H001038,"Rep. Higgins, Brian [D-NY-26]",D,NY,2
480,N000189,"Rep. Newhouse, Dan [R-WA-4]",R,WA,2
443,B000825,"Rep. Boebert, Lauren [R-CO-3]",R,CO,2
520,B001248,"Rep. Burgess, Michael C. [R-TX-26]",R,TX,2
161,R000599,"Rep. Ruiz, Raul [D-CA-25]",D,CA,2
312,W000812,"Rep. Wagner, Ann [R-MO-2]",R,MO,2
308,T000463,"Rep. Turner, Michael R. [R-OH-10]",R,OH,2
306,A000371,"Rep. Aguilar, Pete [D-CA-33]",D,CA,2
300,D000032,"Rep. Donalds, Byron [R-FL-19]",R,FL,2
62,R000395,"Rep. Rogers, Harold [R-KY-5]",R,KY,2
290,R000122,"Sen. Reed, Jack [D-RI]",D,RI,2
159,J000307,"Rep. James, John [R-MI-10]",R,MI,2
287,M001229,"Rep. McIver, LaMonica [D-NJ-10]",D,NJ,2
283,B001326,"Rep. Bynum, Janelle S. [D-OR-5]",D,OR,2
282,S001214,"Rep. Steube, W. Gregory [R-FL-17]",R,FL,2
125,T000474,"Rep. Torres, Norma J. [D-CA-35]",D,CA,2
71,E000300,"Rep. Evans, Gabe [R-CO-8]",R,CO,2
77,M001213,"Rep. Moore, Blake D. [R-UT-1]",R,UT,2
277,D000399,"Rep. Doggett, Lloyd [D-TX-37]",D,TX,2
82,C001126,"Rep. Carey, Mike [R-OH-15]",R,OH,2
271,P000610,"Del. Plaskett, Stacey E. [D-VI-At Large]",D,VI,2
268,C000537,"Rep. Clyburn, James E. [D-SC-6]",D,SC,2
266,S001177,"Del. Sablan, Gregorio Kilili Camacho [D-MP-At Large]",D,MP,2
88,W000825,"Rep. Wexton, Jennifer [D-VA-10]",D,VA,2
90,G000594,"Rep. Gonzales, Tony [R-TX-23]",R,TX,2
237,H001061,"Sen. Hoeven, John [R-ND]",R,ND,2
91,L000603,"Rep. Luttrell, Morgan [R-TX-8]",R,TX,2
95,B000668,"Rep. Bentz, Cliff [R-OR-2]",R,OR,2
235,R000612,"Rep. Rose, John W. [R-TN-6]",R,TN,2
232,C000127,"Sen. Cantwell, Maria [D-WA]",D,WA,2
219,C001095,"Sen. Cotton, Tom [R-AR]",R,AR,2
108,M001177,"Rep. McClintock, Tom [R-CA-5]",R,CA,2
59,L000598,"Rep. LaLota, Nick [R-NY-1]",R,NY,2
57,C001054,"Rep. Carl, Jerry L. [R-AL-1]",R,AL,2
359,S001190,"Rep. Schneider, Bradley Scott [D-IL-10]",D,IL,2
12,L000596,"Rep. Luna, Anna Paulina [R-FL-13]",R,FL,2
14,S001157,"Rep. Scott, David [D-GA-13]",D,GA,2
16,W000815,"Rep. Wenstrup, Brad R. [R-OH-2]",R,OH,2
388,O000086,"Rep. Owens, Burgess [R-UT-4]",R,UT,2
152,O000176,"Rep. Olszewski, Johnny [D-MD-2]",D,MD,2
383,L000577,"Sen. Lee, Mike [R-UT]",R,UT,2
369,B001275,"Rep. Bucshon, Larry [R-IN-8]",R,IN,2
145,K000400,"Rep. Kamlager-Dove, Sydney [D-CA-37]",D,CA,2
180,S001191,"Sen. Sinema, Kyrsten [I-AZ]",I,AZ,2
144,F000110,"Rep. Fields, Cleo [D-LA-6]",D,LA,2
313,K000401,"Rep. Kiley, Kevin [R-CA-3]",R,CA,2
362,B001260,"Rep. Buchanan, Vern [R-FL-16]",R,FL,2
32,H001082,"Rep. Hern, Kevin [R-OK-1]",R,OK,2
33,Y000067,"Rep. Yakym, Rudy [R-IN-2]",R,IN,2
339,P000034,"Rep. Pallone, Frank [D-NJ-6]",D,NJ,2
336,F000062,"Sen. Feinstein, Dianne [D-CA]",D,CA,2
195,T000467,"Rep. Thompson, Glenn [R-PA-15]",R,PA,2
327,B001323,"Rep. Begich, Nicholas J. [R-AK-At Large]",R,AK,2
34,C001090,"Rep. Cartwright, Matt [D-PA-8]",D,PA,2
319,N000015,"Rep. Neal, Richard E. [D-MA-1]",D,MA,2
198,J000295,"Rep. Joyce, David P. [R-OH-14]",R,OH,2
199,D000629,"Rep. Davids, Sharice [D-KS-3]",D,KS,2
148,P000615,"Rep. Pence, Greg [R-IN-6]",R,IN,1
151,M001211,"Rep. Miller, Mary E. [R-IL-15]",R,IL,1
129,S001203,"Sen. Smith, Tina [D-MN]",D,MN,1
139,L000597,"Rep. Lee, Laurel M. [R-FL-15]",R,FL,1
116,T000480,"Rep. Timmons, William R. [R-SC-4]",R,SC,1
112,S000250,"Rep. Sessions, Pete [R-TX-17]",R,TX,1
401,L000266,"Rep. LaTurner, Jake [R-KS-2]",R,KS,1
107,M001210,"Rep. Murphy, Gregory F. [R-NC-3]",R,NC,1
105,M001238,"Rep. McBride, Sarah [D-DE-At Large]",D,DE,1
69,F000474,"Rep. Flood, Mike [R-NE-1]",R,NE,1
500,S001199,"Rep. Smucker, Lloyd [R-PA-11]",R,PA,1
60,T000479,"Rep. Taylor, Van [R-TX-3]",R,TX,1
505,M001232,"Rep. McClain Delaney, April [D-MD-6]",D,MD,1
48,B001295,"Rep. Bost, Mike [R-IL-12]",R,IL,1
508,M001240,"Rep. McDowell, Addison P. [R-NC-6]",R,NC,1
511,T000278,"Sen. Tuberville, Tommy [R-AL]",R,AL,1
28,M001111,"Sen. Murray, Patty [D-WA]",D,WA,1
513,K000402,"Rep. Kennedy, Timothy M. [D-NY-26]",D,NY,1
26,J000312,"Sen. Justice, James C. [R-WV]",R,WV,1
23,H001103,"Rescom. Hernández, Pablo Jose [D-PR-At Large]",D,PR,1
17,A000369,"Rep. Amodei, Mark E. [R-NV-2]",R,NV,1
65,C001110,"Rep. Correa, J. Luis [D-CA-46]",D,CA,1
217,B001324,"Rep. Bell, Wesley [D-MO-1]",D,MO,1
166,D000626,"Rep. Davidson, Warren [R-OH-8]",R,OH,1
346,H001052,"Rep. Harris, Andy [R-MD-1]",R,MD,1
302,M000087,"Rep. Maloney, Carolyn B. [D-NY-12]",D,NY,1
310,H001098,"Rep. Hamadeh, Abraham J. [R-AZ-8]",R,AZ,1
429,B001282,"Rep. Barr, Andy [R-KY-6]",R,KY,1
427,L000585,"Rep. LaHood, Darin [R-IL-16]",R,IL,1
318,H001099,"Rep. Haridopolos, Mike [R-FL-8]",R,FL,1
320,M001187,"Rep. Meadows, Mark [R-NC-11]",R,NC,1
330,M001243,"Sen. McCormick, David [R-PA]",R,PA,1
345,G000578,"Rep. Gaetz, Matt [R-FL-1]",R,FL,1
364,J000294,"Rep. Jeffries, Hakeem S. [D-NY-8]",D,NY,1
292,C001132,"Rep. Crane, Elijah [R-AZ-2]",R,AZ,1
365,L000604,"Rep. Lopez, Greg [R-CO-4]",R,CO,1
413,J000310,"Rep. Johnson, Julie [D-TX-32]",D,TX,1
372,G000576,"Rep. Grothman, Glenn [R-WI-6]",R,WI,1
377,J000302,"Rep. Joyce, John [R-PA-13]",R,PA,1
387,M001236,"Rep. Moore, Tim [R-NC-14]",R,NC,1
390,P000599,"Rep. Posey, Bill [R-FL-8]",R,FL,1
391,G000601,"Rep. Goldman, Craig [R-TX-12]",R,TX,1
398,H001096,"Rep. Hageman, Harriet M. [R-WY-At Large]",R,WY,1
293,M001241,"Rep. Min, Dave [D-CA-47]",D,CA,1
289,K000392,"Rep. Kustoff, David [R-TN-8]",R,TN,1
167,J000304,"Rep. Jackson, Ronny [R-TX-13]",R,TX,1
400,L000607,"Rep. Liccardo, Sam T. [D-CA-16]",D,CA,1
168,N000190,"Rep. Norman, Ralph [R-SC-5]",R,SC,1
472,V000128,"Sen. Van Hollen, Chris [D-MD]",D,MD,1
194,T000238,"Rep. Thornberry, Mac [R-TX-13]",R,TX,1
206,M001233,"Rep. Messmer, Mark [R-IN-8]",R,IN,1
209,W000809,"Rep. Womack, Steve [R-AR-3]",R,AR,1
211,B001322,"Rep. Baumgartner, Michael [R-WA-5]",R,WA,1
212,G000595,"Rep. Good, Bob [R-VA-5]",R,VA,1
215,L000589,"Rep. Lesko, Debbie [R-AZ-8]",R,AZ,1
460,S001148,"Rep. Simpson, Michael K. [R-ID-2]",R,ID,1
281,C001063,"Rep. Cuellar, Henry [D-TX-28]",D,TX,1
230,M000639,"Sen. Menendez, Robert [D-NJ]",D,NJ,1
455,E000301,"Rep. Elfreth, Sarah [D-MD-3]",D,MD,1
454,M001204,"Rep. Meuser, Daniel [R-PA-9]",R,PA,1
242,B001297,"Rep. Buck, Ken [R-CO-4]",R,CO,1
246,M001156,"Rep. McHenry, Patrick T. [R-NC-10]",R,NC,1
447,H001095,"Rep. Hunt, Wesley [R-TX-38]",R,TX,1
278,F000465,"Rep. Ferguson, A. Drew, IV [R-GA-3]",R,GA,1
280,S000770,"Sen. Stabenow, Debbie [D-MI]",D,MI,1
0,S001188,"Rep. Stutzman, Marlin A. [R-IN-3]",R,IN,1
