,bioguide,name,party,state,doc_count
153,P000604,"Rep. Payne, Donald M., Jr. [D-NJ-10]",D,NJ,11
479,B001303,"Rep. Blunt Rochester, Lisa [D-DE-At Large]",D,DE,11
461,O000172,"Rep. Ocasio-Cortez, Alexandria [D-NY-14]",D,NY,11
386,F000454,"Rep. Foster, Bill [D-IL-11]",D,IL,11
382,W000822,"Rep. Watson Coleman, Bonnie [D-NJ-12]",D,NJ,11
351,B001291,"Rep. Babin, Brian [R-TX-36]",R,TX,11
6,E000215,"Rep. Eshoo, Anna G. [D-CA-16]",D,CA,11
173,B001305,"Sen. Budd, Ted [R-NC]",R,NC,10
439,H000273,"Sen. Hickenlooper, John W. [D-CO]",D,CO,10
402,C001075,"Sen. Cassidy, Bill [R-LA]",R,LA,10
340,S001208,"Rep. Slotkin, Elissa [D-MI-7]",D,MI,10
261,S001223,"Rep. Sykes, Emilia Strong [D-OH-13]",D,OH,10
296,M001227,"Rep. McClellan, Jennifer L. [D-VA-4]",D,VA,10
486,K000391,"Rep. Krishnamoorthi, Raja [D-IL-8]",D,IL,10
155,J000308,"Rep. Jackson, Jeff [D-NC-14]",D,NC,10
123,R000605,"Sen. Rounds, Mike [R-SD]",R,SD,10
223,C001113,"Sen. Cortez Masto, Catherine [D-NV]",D,NV,10
11,B001277,"Sen. Blumenthal, Richard [D-CT]",D,CT,10
366,T000488,"Rep. Thanedar, Shri [D-MI-13]",D,MI,10
146,L000593,"Rep. Levin, Mike [D-CA-49]",D,CA,10
451,B001223,"Rep. Bowman, Jamaal [D-NY-16]",D,NY,10
272,G000061,"Rep. Garcia, Mike [R-CA-27]",R,CA,10
225,G000586,"Rep. Garcia, Jesus G. ""Chuy"" [D-IL-4]",D,IL,10
301,M001206,"Rep. Morelle, Joseph D. [D-NY-25]",D,NY,10
357,W000805,"Sen. Warner, Mark R. [D-VA]",D,VA,10
431,H001042,"Sen. Hirono, Mazie K. [D-HI]",D,HI,10
210,E000297,"Rep. Espaillat, Adriano [D-NY-13]",D,NY,10
70,S001200,"Rep. Soto, Darren [D-FL-9]",D,FL,10
250,S000148,"Sen. Schumer, Charles E. [D-NY]",D,NY,10
2,L000551,"Rep. Lee, Barbara [D-CA-12]",D,CA,10
518,C001112,"Rep. Carbajal, Salud O. [D-CA-24]",D,CA,10
475,R000617,"Rep. Ramirez, Delia C. [D-IL-3]",D,IL,10
218,K000377,"Sen. Kelly, Mark [D-AZ]",D,AZ,10
