,bioguide,name,party,state,cross_betweenness,cross_weighted_degree,total_degree,cross_ratio
65,G000586,"Rep. Garcia, Jesus G. ""Chuy"" [D-IL-4]",D,IL,0.0,2,603,0.003316749585406302
277,R000122,"Sen. Reed, Jack [D-RI]",D,RI,0.0,2,4,0.5
52,C001127,"Rep. Cherfilus-McCormick, Sheila [D-FL-2",D,FL,0.0,2,551,0.003629764065335753
227,R000622,"Rep. Riley, Josh [D-NY-19]",D,NY,0.0,2,4,0.5
273,A000148,"Rep. Auchincloss, Jake [D-MA-4]",D,MA,0.0,5,459,0.010893246187363835
137,L000590,"Rep. Lee, Susie [D-NV-3]",D,NV,0.0,5,87,0.05747126436781609
271,W000788,"Rep. Williams, Nikema [D-GA-5]",D,GA,0.0,5,502,0.0099601593625498
269,W000823,"Rep. Waltz, Michael [R-FL-6]",R,FL,0.0,2,11,0.18181818181818182
70,W000822,"Rep. Watson Coleman, Bonnie [D-NJ-12]",D,NJ,0.0,2,607,0.0032948929159802307
268,H001071,"Rep. Hice, Jody B. [R-GA-10]",R,GA,0.0,2,2,1.0
267,C001084,"Rep. Cicilline, David N. [D-RI-1]",D,RI,0.0,8,410,0.01951219512195122
266,G000581,"Rep. Gonzalez, Vicente [D-TX-15]",D,TX,0.0,8,26,0.3076923076923077
265,S000510,"Rep. Smith, Adam [D-WA-9]",D,WA,0.0,2,425,0.004705882352941176
67,P000604,"Rep. Payne, Donald M., Jr. [D-NJ-10]",D,NJ,0.0,2,479,0.0041753653444676405
262,K000389,"Rep. Khanna, Ro [D-CA-17]",D,CA,0.0,5,448,0.011160714285714286
259,M001135,"Rep. Manning, Kathy E. [D-NC-6]",D,NC,0.0,2,412,0.0048543689320388345
