,bioguide,name,party,state,cross_betweenness,cross_weighted_degree,total_degree,cross_ratio
240,M001196,"Rep. Moulton, Seth [D-MA-6]",D,MA,0.0005846997670809949,32,586,0.05460750853242321
206,M001169,"Sen. Murphy, Christopher [D-CT]",D,CT,0.0005435291364584392,38,82,0.4634146341463415
48,P000616,"Rep. Phillips, Dean [D-MN-3]",D,MN,0.0005133130086467095,33,575,0.057391304347826085
212,W000437,"Sen. Wicker, Roger F. [R-MS]",R,MS,0.0005038846572545677,83,148,0.5608108108108109
242,L000578,"Rep. LaMalfa, Doug [R-CA-1]",R,CA,0.0004886854118747967,6,210,0.02857142857142857
246,C001126,"Rep. Carey, Mike [R-OH-15]",R,OH,0.0004886854118747967,6,12,0.5
222,W000805,"Sen. Warner, Mark R. [D-VA]",D,VA,0.0004827296435837891,90,173,0.5202312138728323
83,D000624,"Rep. Dingell, Debbie [D-MI-6]",D,MI,0.0004350051505390367,145,943,0.1537645811240721
96,W000802,"Sen. Whitehouse, Sheldon [D-RI]",D,RI,0.0004307824467951005,85,180,0.4722222222222222
156,L000491,"Rep. Lucas, Frank D. [R-OK-3]",R,OK,0.0004240438709184583,9,9,1.0
140,K000393,"Sen. Kennedy, John [R-LA]",R,LA,0.00040391581445805154,18,45,0.4
115,K000384,"Sen. Kaine, Tim [D-VA]",D,VA,0.00037869040591738027,103,199,0.5175879396984925
104,B001230,"Sen. Baldwin, Tammy [D-WI]",D,WI,0.00037400341423793023,69,161,0.42857142857142855
226,G000593,"Rep. Gimenez, Carlos A. [R-FL-28]",R,FL,0.0003677831309548809,11,24,0.4583333333333333
24,S001225,"Rep. Sorensen, Eric [D-IL-17]",D,IL,0.0003625937614855536,97,600,0.16166666666666665
159,J000288,"Rep. Johnson, Henry C. ""Hank"" [D-GA-4]",D,GA,0.0003314860913990669,4,532,0.007518796992481203
174,R000617,"Rep. Ramirez, Delia C. [D-IL-3]",D,IL,0.0003314860913990669,4,615,0.0065040650406504065
274,K000380,"Rep. Kildee, Daniel T. [D-MI-8]",D,MI,0.0003314860913990669,4,409,0.009779951100244499
183,T000469,"Rep. Tonko, Paul [D-NY-20]",D,NY,0.0003314860913990669,4,538,0.007434944237918215
200,B001320,"Sen. Butler, Laphonza R. [D-CA]",D,CA,0.0003210580811917077,46,94,0.48936170212765956
272,D000563,"Sen. Durbin, Richard J. [D-IL]",D,IL,0.0003193906759767551,38,65,0.5846153846153846
121,K000377,"Sen. Kelly, Mark [D-AZ]",D,AZ,0.0003188454469419288,104,211,0.4928909952606635
219,S001201,"Rep. Suozzi, Thomas R. [D-NY-3]",D,NY,0.0003038848998809793,6,93,0.06451612903225806
211,L000571,"Sen. Lummis, Cynthia M. [R-WY]",R,WY,0.0002989573567801961,83,153,0.5424836601307189
97,C001075,"Sen. Cassidy, Bill [R-LA]",R,LA,0.0002917195976230047,75,137,0.5474452554744526
256,B001260,"Rep. Buchanan, Vern [R-FL-16]",R,FL,0.00029153672569361567,8,8,1.0
305,V000133,"Rep. Van Drew, Jefferson [R-NJ-2]",R,NJ,0.00028720855042389847,12,231,0.05194805194805195
